'Titulo','Direção','Nota','Link','Ano','Categoria'
'Operação Big Hero','Don Hall.                                                                                                                                                                                                                                Chris Williams (II)','3.7','https://www.adorocinema.com/filmes/filme-209529/','25 de dezembro de 2014','N/A'
'Harry Potter E O Enigma Do Príncipe','David Yates','4.5','https://www.adorocinema.com/filmes/filme-116305/','15 de julho de 2009','N/A'
'Meu Nome É Radio','N/A','4.5','https://www.adorocinema.com/filmes/filme-45300/','1 de junho de 2021','N/A'
'O Exorcista','William Friedkin','4.5','https://www.adorocinema.com/filmes/filme-27765/','29 de julho de 1974','N/A'
'Tropa De Elite 2','José Padilha','4.5','https://www.adorocinema.com/filmes/filme-189340/','8 de outubro de 2010','N/A'
'Mulher-Maravilha','Patty Jenkins','3.6','https://www.adorocinema.com/filmes/filme-173720/','1 de junho de 2017','N/A'
'Toy Story 2','John Lasseter.                                                                                                                                                                                                                                Ash Brannon.                                                                                                                                                                                                                                Lee Unkrich','4.5','https://www.adorocinema.com/filmes/filme-22323/','17 de dezembro de 1999','N/A'
'Edward Mãos De Tesoura','Tim Burton','4.5','https://www.adorocinema.com/filmes/filme-27624/','14 de fevereiro de 1991','N/A'
'O Rei Do Show','Michael Gracey','2.9','https://www.adorocinema.com/filmes/filme-170828/','25 de dezembro de 2017','N/A'
'O Jogo Da Imitação','Morten Tyldum','3.3','https://www.adorocinema.com/filmes/filme-198371/','5 de fevereiro de 2015','N/A'
'Indiana Jones E A Última Cruzada','Steven Spielberg','4.5','https://www.adorocinema.com/filmes/filme-5032/','22 de junho de 1989','N/A'
'Amadeus','N/A','4.5','https://www.adorocinema.com/filmes/filme-67/','8 de outubro de 1984','N/A'
'O Show De Truman','Peter Weir','4.5','https://www.adorocinema.com/filmes/filme-18671/','30 de outubro de 1998','N/A'
'Uma Prova De Amor','Nick Cassavetes','4.5','https://www.adorocinema.com/filmes/filme-130304/','11 de setembro de 2009','N/A'
'Relatos Selvagens','Damián Szifron','4.2','https://www.adorocinema.com/filmes/filme-221270/','23 de outubro de 2014','N/A'
'As Vantagens De Ser Invisível','Stephen Chbosky','3.8','https://www.adorocinema.com/filmes/filme-182120/','19 de outubro de 2012','N/A'
'Os Incríveis','Brad Bird','4.5','https://www.adorocinema.com/filmes/filme-53096/','10 de dezembro de 2004','N/A'
'Spirit - O Corcel Indomável','Kelly Asbury.                                                                                                                                                                                                                                Lorna Cook','4.5','https://www.adorocinema.com/filmes/filme-42151/','5 de julho de 2002','N/A'
'A Era Do Gelo','Chris Wedge.                                                                                                                                                                                                                                Carlos Saldanha','4.5','https://www.adorocinema.com/filmes/filme-35784/','22 de março de 2002','N/A'
'Bonequinha De Luxo','Blake Edwards','4.5','https://www.adorocinema.com/filmes/filme-2736/','13 de novembro de 1961','N/A'
'Jogo Da Vida','N/A','4.5','https://www.adorocinema.com/filmes/filme-206100/','março 2013','N/A'
'A Sociedade Da Neve','Juan Antonio Bayona','4.5','https://www.adorocinema.com/filmes/filme-267338/','14 de dezembro de 2023','N/A'
'Gato De Botas 2: O Último Pedido','Joel Crawford','4.5','https://www.adorocinema.com/filmes/filme-228395/','5 de janeiro de 2023','N/A'
'Super Mario Bros. - O Filme','Aaron Horvath.                                                                                                                                                                                                                                Michael Jelenic','3.1','https://www.adorocinema.com/filmes/filme-234099/','6 de abril de 2023','N/A'
'O Último Samurai','Edward Zwick','4.5','https://www.adorocinema.com/filmes/filme-46943/','16 de janeiro de 2004','N/A'
'Invocação Do Mal','James Wan','3.7','https://www.adorocinema.com/filmes/filme-203607/','13 de setembro de 2013','N/A'
'Marley & Eu','David Frankel','4.5','https://www.adorocinema.com/filmes/filme-126412/','25 de dezembro de 2008','N/A'
'Sete Vidas','Gabriele Muccino','4.5','https://www.adorocinema.com/filmes/filme-130769/','25 de dezembro de 2008','N/A'
'Nasce Uma Estrela','Bradley Cooper','3.7','https://www.adorocinema.com/filmes/filme-173109/','11 de outubro de 2018','N/A'
'Código De Conduta','F. Gary Gray','4.5','https://www.adorocinema.com/filmes/filme-134690/','6 de novembro de 2009','N/A'
'Lion - Uma Jornada Para Casa','Garth Davis','3.0','https://www.adorocinema.com/filmes/filme-229070/','16 de fevereiro de 2017','N/A'
'Piratas Do Caribe - No Fim Do Mundo','Gore Verbinski','4.5','https://www.adorocinema.com/filmes/filme-57139/','25 de maio de 2007','N/A'
